Слово,Частота
кавтарадзе,8
открыт,8
пр,7
тушью,7
кантом,7
19,7
горного,7
мужчиной,7
давида,7
цена,7
проем,7
порталом,7
лавочке,7
корточках,7
каменный,7
народной,7
перо,7
мира,7
уходит,7
мощеной,7
возрасте,7
широкая,7
фресками,7
ниша,7
чабукиани,7
куры,7
красные,7
палиашвили,7
тонирован,7
общество,7
министерство,7
грузин,7
форма,7
зелёный,7
бельем,7
высоты,7
грибоедова,7
трофимычем,7
темная,7
вахтанг,7
1942,7
повёрнута,7
аркой,7
трава,7
орденов,7
запрокинута,7
лент,7
вертикальным,7
телави,7
двухэтажные,7
кикнадзе,7
ае,7
открытая,7
высокими,7
черепицей,7
ковер,7
номером,7
многофигурная,7
открытое,7
князя,7
множество,7
танцующие,7
участка,7
деревом,7
гинзбурга,7
варианты,7
широкий,7
чёрными,7
ещё,7
стиле,7
фотопортреты,7
политбюро,7
амвросиевич,7
платьях,7
мжаванадзе,7
розовом,7
штаба,7
новый,7
съезда,7
районах,7
невысокие,7
гнима,7
месте,7
крыльцом,7
пятый,7
маленький,7
пышные,7
анатолий,7
декоративных,7
кушешвили,7
облака,7
спину,7
номера,7
углах,7
христа,7
святого,7
флаг,7
большое,7
ограды,7
никорцминда,7
арочный,7
перила,7
оригинал,7
против,7
шея,7
рамку,7
кумурдо,7
частично,7
высотой,7
жанр,7
лошадь,7
листьев,7
часы,7
1933,7
машины,7
партнершей,7
травы,7
бланке,7
архитектурные,7
балкон,7
архитектора,7
цветное,7
бывший,7
центр,7
бунин,7
группе,7
держащая,7
фруктами,7
цесаревна,7
овальной,7
1943,7
костюма,7
расположен,7
участок,7
постаменте,7
верхним,7
роялем,7
фигурной,7
письмо,7
рассказам,7
вероятно,7
жена,7
фигурки,7
тонов,7
токуневская,7
1919,7
арт,7
обеим,7
кв,7
закариадзе,7
ка,7
столба,7
воин,7
профессора,7
подбородок,7
пышными,7
почтовых,7
трико,7
членов,7
рехвиашвили,7
шахты,7
бум,7
42,7
забором,7
гамбаровой,7
кузаняна,7
кровлей,7
написаны,7
таблиц,7
корешок,7
ствол,7
стул,7
др,7
обороны,7
женской,7
царицы,7
гс,7
открытых,7
ма,7
боев,7
розовым,7
груз,7
дважды,7
фигурка,7
тёмном,7
многолетнее,7
медаль,7
50,7
1941,7
фронтоном,7
халат,7
колонн,7
надписями,7
участники,7
рядов,7
городская,7
фоном,7
веков,7
бородкой,7
пучок,7
сосуд,7
плодами,7
серп,7
молот,7
представлено,7
формата,7
оттенков,7
плечу,7
святой,7
вырезом,7
гуашью,7
наклонен,7
пояса,7
маленькая,7
резной,7
фронтальный,7
кн,7
лейтенант,7
кармане,7
инв,7
двухэтажное,7
улыбка,7
женских,7
полосатым,7
горошек,7
пересъемка,7
вытянутой,7
революции,7
черты,7
которыми,7
различные,7
бедре,7
фрак,7
воротом,7
отложным,7
актера,7
бутылка,7
31,7
холста,7
запада,7
обкома,7
желтым,7
лесу,7
училище,7
думбадзе,7
вп,7
тбил,6
ношения,6
неустановленного,6
проф,6
долина,6
шишкоягоду,6
вначале,6
кувшина,6
локоть,6
тарелка,6
синечерная,6
мощная,6
корневая,6
система,6
данного,6
прочно,6
устремлен,6
положении,6
правый,6
цирка,6
двускатными,6
1985,6
1944,6
бутылками,6
подставке,6
гимнастёрке,6
архитекторы,6
1918,6
склона,6
идущих,6
орджоникидзе,6
ги,6
строительные,6
колено,6
сюртук,6
рубаха,6
борьбе,6
реввоенсовета,6
сентября,6
кетеван,6
дчичинадзе,6
артиста,6
государственной,6
парке,6
остальные,6
анна,6
дверей,6
кулинарии,6
ландшафтном,6
дизайне,6
извилистая,6
нина,6
поплечный,6
воротник,6
горной,6
военную,6
начала,6
нимб,6
женские,6
джинсы,6
светлое,6
убраны,6
прическу,6
высоким,6
масштабные,6
шкалы,6
пожилая,6
каменным,6
медальоном,6
78,6
фронтальная,6
самтависи,6
v,6
основания,6
розовой,6
девочки,6
дальше,6
аннот,6
верандами,6
идущая,6
правых,6
портреты,6
васадзе,6
заместитель,6
саване,6
западная,6
мирошниченко,6
нижарадзе,6
мунгалова,6
вершинами,6
брежнев,6
оттиска,6
45,6
ак,6
высшего,6
гладь,6
лодки,6
лето,6
ведут,6
штук,6
совет,6
дарственная,6
кувшином,6
светлая,6
штаны,6
подол,6
придерживает,6
тёмного,6
миндиашвили,6
роспись,6
булыжником,6
улочка,6
ткань,6
мцхета,6
нарикала,6
узкие,6
лентой,6
террасами,6
гору,6
ущелье,6
экспед,6
етокайшвили,6
изъ,6
трибуны,6
цигнадзе,6
представлена,6
очки,6
19411945,6
монограмма,6
растут,6
скульптуры,6
шинели,6
шлюпка,6
внутреннего,6
аркадой,6
чёрную,6
борту,6
основной,6
виднеются,6
декоративного,6
нг,6
растительного,6
победа,6
дружба,6
цветок,6
1990,6
